Cantidad_plantas,Pileta,Apto_credito,antiguedad,dormitorios,cocheras,baños,ambientes,m2_totales,m2_cubiertos,expenses,price,vivienda,latitud,longitud,precio_m2_cercano
1,no,no,16.0,4.0,1.0,3.0,5.0,344.0,290.0,,590000.0,Casa,-34.4003895,-58.653931,1686.5671641791046
1,no,no,40.0,3.0,1.0,1.0,4.0,78.0,74.0,170000.0,152000.0,Departamento,-34.4925042,-58.5289983,
2,sí,no,1.0,3.0,1.0,3.0,4.0,927.0,207.0,400000.0,380000.0,Casa,-34.34905,-58.79308,415.0366300366301
1,no,no,0.0,5.0,2.0,7.0,7.0,486.0,417.0,,459900.0,Casa,-34.0,-64.0,1257.227048554579
1,no,no,50.0,3.0,1.0,2.0,4.0,144.0,144.0,250000.0,180000.0,Departamento,-31.4135,-64.18105,719.496229027119
1,no,no,50.0,1.0,,1.0,2.0,72.0,47.0,,135000.0,PH,-34.54969,-58.48572,2088.282089294935
1,no,no,9.0,2.0,1.0,2.0,3.0,69.0,69.0,,188000.0,Casa,-34.50936,-58.519579,1300.0
1,no,no,0.0,1.0,,1.0,2.0,63.0,45.0,,194000.0,Departamento,-34.54955,-58.46684,2917.6667850088998
1,no,no,40.0,4.0,3.0,4.0,,610.0,470.0,,360000.0,Casa,-32.94682,-60.63932,1363.6576873105514
1,no,no,1.0,4.0,,3.0,5.0,1020.0,210.0,500000.0,430000.0,Casa,-31.61689,-61.93256,892.5025746652935
1,no,no,20.0,2.0,,1.0,3.0,62.0,57.0,,177000.0,Departamento,,,
1,no,no,3.0,2.0,2.0,1.0,,128.0,76.0,,110000.0,Casa,-31.389976,-64.2576766,
1,no,no,50.0,2.0,,1.0,3.0,72.0,52.0,,130000.0,PH,-34.5857544,-58.4936798,1795.5289844913107
1,no,no,8.0,,,1.0,1.0,41.0,38.0,70000.0,45000.0,Departamento,-34.0,-64.0,1242.1005806232329
1,no,no,5.0,3.0,,1.0,4.0,186.0,88.0,,129500.0,PH,-34.600734,-58.570615,1215.444202372307
1,no,no,0.0,3.0,1.0,1.0,4.0,323.0,100.0,,175000.0,Casa,-34.0,-64.0,1297.6771116207408
1,no,no,12.0,3.0,3.0,3.0,4.0,202.0,174.0,,270000.0,Casa,-34.6418643,-58.668896,642.2289173149313
1,no,no,0.0,1.0,,1.0,2.0,61.0,52.0,,234000.0,Departamento,-34.5627,-58.45829,2492.4016287956847
1,no,no,46.0,2.0,1.0,1.0,3.0,47.0,47.0,140000.0,140000.0,Departamento,-34.58856,-58.43053,3060.240398226282
1,no,no,70.0,4.0,,3.0,6.0,190.0,170.0,,345000.0,Casa,-34.6042823,-58.4469588,2266.759717916176
1,no,no,10.0,2.0,1.0,1.0,3.0,90.0,80.0,60000.0,140000.0,Departamento,,,
1,no,no,16.0,3.0,1.0,2.0,5.0,468.0,167.0,303600.0,245000.0,PH,-31.4135,-64.18105,864.7953743262644
1,no,no,0.0,3.0,1.0,2.0,4.0,165.0,127.0,,340000.0,Casa,-32.94682,-60.63932,1216.6134746925684
1,no,no,0.0,1.0,,1.0,2.0,42.0,42.0,,58100.0,Departamento,-31.38945,-64.17566,
1,no,no,35.0,3.0,2.0,3.0,4.0,286.0,219.0,,290000.0,Departamento,-31.4135,-64.18105,766.6990262299163
1,no,no,0.0,,,1.0,1.0,42.0,35.0,16030.0,78000.0,Departamento,-34.62264,-58.44104,2483.578936989784
1,no,no,3.0,2.0,1.0,1.0,3.0,71.0,58.0,,195000.0,Departamento,-34.60001,-58.44735,2173.690777960654
1,no,no,0.0,,,1.0,1.0,40.0,40.0,112000.0,149000.0,Departamento,,,
1,no,no,60.0,1.0,,1.0,2.0,50.0,46.0,90000.0,59000.0,Departamento,,,
1,no,no,44.0,3.0,1.0,2.0,6.0,200.0,150.0,,147000.0,Casa,-31.4492883,-64.212081,
1,no,no,50.0,1.0,,1.0,2.0,55.0,43.0,120000.0,110000.0,Departamento,-34.5656222,-58.4466359,2580.105384314158
1,no,no,13.0,5.0,1.0,3.0,6.0,250.0,250.0,,360000.0,Casa,-31.61689,-61.93256,383.2868883907837
1,no,no,0.0,3.0,,3.0,4.0,250.0,130.0,,585000.0,Departamento,-34.60064,-58.51231,2473.070415666267
