Agronomía,///
Almagro,"2,433"
Balvanera,"2,070"
Barracas,"2,124"
Belgrano,"3,023"
Boca,"1,498"
Boedo,"2,033"
Caballito,"2,508"
Chacarita,"2,816"
Coghlan,"2,695"
Colegiales,"2,971"
Constitución,"2,006"
Flores,"2,122"
Floresta,"2,058"
La Paternal,///
Liniers,"2,002"
Mataderos,"1,946"
Monte Castro,"2,080"
Montserrat,"2,290"
Nueva Pompeya,///
Núñez,"3,077"
Palermo,"3,187"
Parque Avellaneda,///
Parque Chacabuco,"2,316"
Parque Chas,"2,473"
Parque Patricios,"1,868"
Puerto Madero,///
Recoleta,"2,852"
Retiro,"2,486"
Saavedra,"2,670"
San Cristóbal,"2,002"
San Nicolás,"2,086"
San Telmo,"2,295"
Vélez Sarsfield,"1,989"
Versalles,#N/A
Villa Crespo,"2,606"
Villa del Parque,"2,340"
Villa Devoto,"2,416"
Villa Gral. Mitre,"2,290"
Villa Lugano,///
Villa Luro,"2,037"
Villa Ortúzar,"2,501"
Villa Pueyrredón,"2,402"
Villa Real,///
Villa Riachuelo,///
Villa Santa Rita,"2,084"
Villa Soldati,///
Villa Urquiza,"2,741"
