url,title,rent_price,expenses_price,location,icon-stotal,icon-scubierta,icon-ambiente,icon-bano,icon-cochera,icon-dormitorio,icon-antiguedad,icon-orientacion,general_features,icon-toilete,features,icon-luminosidad,icon-disposicion,icon-inmueble
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-barrancas-del-lago-nordelta-tigre-56218845.html,Casa · 290m² · 5 ambientes · 1 cochera,USD 590.000,No disponible,"av de los lagos 3800, Barrancas del Lago, Nordelta",344 m² tot.,290 m² cub.,5 amb.,3 baños,1 coch.,4 dorm.,16 años,NO,Dependencia servicio,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-venta-5-dorm.-5-banos-2400-m-sup2--totales-56379147.html,Casa · 400m² · 10 ambientes,USD 1.500.000,Expensas $ 60.000,"Club de Campo Abril, Abril Club de Campo, Guillermo Hudson",2400 m² tot.,400 m² cub.,10 amb.,5 baños,,5 dorm.,18 años,N,Cantidad plantas : 3; Frente del terreno (mts) : 0; Largo del terreno (mts) : 0; Pileta; Superficie Semicubierta (m²) : 0,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-depto-en-venta-4-amb-en-martinez-56248334.html,Departamento · 74m² · 4 ambientes · 1 cochera,USD 152.000,Expensas $ 170.000,"Lima al 2800, Martínez, San Isidro",78 m² tot.,74 m² cub.,4 amb.,1 baño,1 coch.,3 dorm.,40 años,,; ; ; ,1 toilette,,,,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-nicaragua-4356-56353675.html,No disponible,No disponible,No disponible,"Nicaragua 4356, Palermo, Capital Federal",,,,,,,,,,,No disponible,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-el-cazal-escobar-nautico-salida-al-55694917.html,Casa · 207m² · 4 ambientes · 1 cochera,USD 380.000,Expensas $ 400.000,"Barrio Naútico El Cazal, El Cazal, Escobar",927 m² tot.,207 m² cub.,4 amb.,3 baños,1 coch.,3 dorm.,1 años,N,Permite mascotas; Cantidad plantas : 2; Cobertura cochera : Cubierta; Frente del terreno (mts) : 0; Largo del terreno (mts) : 0; Pileta; Superficie Semicubierta (m²) : 73,1 toilette,,Muy luminoso,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-venta-piscina-ecuestre-costa-esmeralda-56260609.html,Casa · 417m² · 7 ambientes · 2 cocheras,USD 459.900,No disponible,"Ecuestre 400, Costa Esmeralda, Buenos Aires Costa Atlántica",486 m² tot.,417 m² cub.,7 amb.,7 baños,2 coch.,5 dorm.,A estrenar,,; ; ,1 toilette,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-martinez-56161155.html,Casa · 550m² · 7 ambientes · 3 cocheras,USD 1.050.000,No disponible,"Juan José Paso al 1300, Martínez, San Isidro",710 m² tot.,550 m² cub.,7 amb.,4 baños,3 coch.,4 dorm.,A estrenar,,; ; ; ; ; ; ; ,2 toilettes,,,,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-moreno-rent-55622454.html,No disponible,No disponible,No disponible,"Moreno 1828, Congreso, Capital Federal",,,,,,,,,,,No disponible,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-al-rio-san-marcos-villanueva-55863748.html,Casa · 240m² · 7 ambientes,USD 790.000,No disponible,"Barrio San Marco, San Marco, Villanueva",925 m² tot.,240 m² cub.,7 amb.,4 baños,,5 dorm.,10 años,,; ; ; ; ; ,1 toilette,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-vendo-dpto-3-dorm-en-nueva-cordoba!-56374809.html,Departamento · 144m² · 4 ambientes · 1 cochera,USD 180.000,Expensas $ 250.000,"Estrada al 100, Entre Bs As e Ituzaingó, Nueva Córdoba, Córdoba",144 m² tot.,144 m² cub.,4 amb.,2 baños,1 coch.,3 dorm.,50 años,S,Cantidad plantas : 1; Cobertura cochera : Cubierta; Superficie Semicubierta (m²) : 0,1 toilette,,,Frente,
https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-excelente-ph-2-ambientes-venta-en-saavedra!-55805265.html,PH · 47m² · 2 ambientes,USD 135.000,No disponible,"Lugones al 3700, Saavedra, Capital Federal",72 m² tot.,47 m² cub.,2 amb.,1 baño,,1 dorm.,50 años,NO,; ; ; ; ,1 toilette,,Muy luminoso,Frente,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememvein-sens-luxury-homes-56365903.html,No disponible,No disponible,No disponible,"Godoy Cruz 2199, Palermo, Capital Federal",,,,,,,,,,,No disponible,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-villa-allende-golf-54128578.html,Casa · 518m² · 10 ambientes · 2 cocheras,USD 450.000,No disponible,"Mundo Nuevo al 500, Villa Allende Golf, Villa Allende Golf, Villa Allende",2050 m² tot.,518 m² cub.,10 amb.,3 baños,2 coch.,4 dorm.,10 años,O,; ; ; ; ; ; ; ,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-olivos-vicente-lopez-g.-b.-a.-zona-55671741.html,Casa · 69m² · 3 ambientes · 1 cochera,USD 188.000,No disponible,"ROSETTI 4200, Olivos, Vicente López",69 m² tot.,69 m² cub.,3 amb.,2 baños,1 coch.,2 dorm.,9 años,,; ,,,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2amb-c-balcon-aterrazado-piso-11-nunez-2300-54706102.html,Departamento · 45m² · 2 ambientes,USD 194.000,No disponible,"Nuñez al 2300, Núñez, Capital Federal",63 m² tot.,45 m² cub.,2 amb.,1 baño,,1 dorm.,A estrenar,N,; ; ,1 toilette,,Muy luminoso,Frente,
https://www.zonaprop.com.ar/propiedades/emprendimiento/ememhoin-villanueva-55894453.html,No disponible,No disponible,No disponible,"Villanueva, Villanueva, Tigre",,,,,,,,,,,No disponible,,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-rosario-la-florida.-53868650.html,Casa · 470m² · 4 dormitorios · 3 cocheras,USD 360.000,No disponible,"Ingeniero Laporte al 3800, La Florida, Rosario",610 m² tot.,470 m² cub.,,4 baños,3 coch.,4 dorm.,40 años,O,; ; ; ; ; ; ,,,Muy luminoso,,
https://www.zonaprop.com.ar/propiedades/clasificado/veclcain-casa-en-venta-en-costa-esmeralda-56253864.html,Casa · 210m² · 5 ambientes,USD 430.000,Expensas $ 500.000,"Deportiva al 100, Deportivo I, Costa Esmeralda",1020 m² tot.,210 m² cub.,5 amb.,3 baños,,4 dorm.,1 años,O,; ; ; ; ; ,1 toilette,,Muy luminoso,,
